step,x,y,z,mass
0,-7.99966,-12.9994,-33.9998,1e+12
0,7.00104,35,-16.9999,2e+12
0,47.9992,41.9998,-11.0001,3e+12
1,-7.99898,-12.9981,-33.9993,1e+12
1,7.00312,34.9999,-16.9997,2e+12
1,47.9976,41.9994,-11.0004,3e+12
2,-7.99797,-12.9962,-33.9986,1e+12
2,7.00624,34.9998,-16.9995,2e+12
2,47.9952,41.9988,-11.0008,3e+12
3,-7.99661,-12.9937,-33.9976,1e+12
3,7.01039,34.9997,-16.9991,2e+12
3,47.9919,41.9981,-11.0014,3e+12
4,-7.99492,-12.9906,-33.9965,1e+12
4,7.01559,34.9996,-16.9987,2e+12
4,47.9879,41.9971,-11.002,3e+12
5,-7.99288,-12.9868,-33.995,1e+12
5,7.02183,34.9995,-16.9982,2e+12
5,47.9831,41.9959,-11.0029,3e+12
6,-7.99051,-12.9824,-33.9934,1e+12
6,7.02911,34.9993,-16.9976,2e+12
6,47.9774,41.9946,-11.0038,3e+12
7,-7.9878,-12.9773,-33.9915,1e+12
7,7.03743,34.9991,-16.9969,2e+12
7,47.971,41.993,-11.0049,3e+12
8,-7.98475,-12.9717,-33.9894,1e+12
8,7.0468,34.9989,-16.9961,2e+12
8,47.9637,41.9913,-11.0061,3e+12
9,-7.98136,-12.9654,-33.987,1e+12
9,7.0572,34.9986,-16.9953,2e+12
9,47.9557,41.9894,-11.0075,3e+12
10,-7.97763,-12.9584,-33.9844,1e+12
10,7.06866,34.9983,-16.9943,2e+12
10,47.9468,41.9873,-11.009,3e+12
11,-7.97356,-12.9509,-33.9816,1e+12
11,7.08115,34.998,-16.9933,2e+12
11,47.9371,41.9849,-11.0106,3e+12
12,-7.96915,-12.9427,-33.9785,1e+12
12,7.0947,34.9977,-16.9922,2e+12
12,47.9266,41.9824,-11.0124,3e+12
13,-7.9644,-12.9339,-33.9752,1e+12
13,7.10929,34.9974,-16.9909,2e+12
13,47.9153,41.9797,-11.0143,3e+12
14,-7.95931,-12.9244,-33.9717,1e+12
14,7.12493,34.997,-16.9896,2e+12
14,47.9031,41.9768,-11.0163,3e+12
15,-7.95388,-12.9143,-33.9679,1e+12
15,7.14162,34.9966,-16.9883,2e+12
15,47.8902,41.9737,-11.0185,3e+12
16,-7.94811,-12.9036,-33.9639,1e+12
16,7.15937,34.9962,-16.9868,2e+12
16,47.8765,41.9704,-11.0208,3e+12
17,-7.94199,-12.8923,-33.9596,1e+12
